metabolite,confidence,4399_20,4582_20,4582_22,4606_20,4625_20,4625_23,4660_20,4672_20,4686_20,4399_22,4606_23,4660_22,4672_23,4686_23,4333_20,4333_23,4575_20,4583_20,4626_20,4646_20,4666_20,4692_20,4583_22,4626_23,4646_23,4336_20,4579_20,4579_23,4584_20,4584_23,4611_20,4647_20,4668_20,4693_20,4336_23,4611_23,4647_22,4668_22,4693_22,4325_20,4325_23,4393_20,4393_23,4398_20,4502_20,4502_23,4556_20,4556_23,4563_20,4563_23,4605_20,4655_20,4658_20,4670_20,4678_20,4678_23,4679_20,4682_20,4398_22,4605_22,4655_23,4670_23,4679_22,4682_23
&beta;-ketophosphonate,7,3848.810791,3514.468506,1382.345581,5028.253906,5679.61084,4544.918945,2630.457275,5401.825684,3001.272705,1569.678467,2997.225098,1977.172852,1736.661621,600.6422729,6539.624023,890.1515503,12917.50781,4340.958984,7016.272949,4139.369141,2653.837158,2079.976074,1488.981201,11835.46777,2359.19751,7565.898438,9340.224609,3164.375977,2978.11792,3325.405273,6385.700684,6881.376953,5101.773926,8915.033203,3911.355469,3654.262939,3484.046875,351.2433167,7700.641113,3294.390869,3567.724121,2680.862305,1970.383301,2262.115967,0,1051.135864,3714.413818,618.4858398,5190.032227,2388.822754,2431.855957,2212.747559,2382.613281,3001.834229,2863.573975,2395.953125,617.9501953,3629.587402,3593.921631,1731.332764,1974.939209,2828.891602,5415.649902,2390.486084
&gamma;-thiomethyl glutamate,5,16637.91992,13342.55664,12276.77637,20977.97852,19568.86523,25454.90039,15480.01465,22984.65234,12721.39844,17021.66406,8611.447266,12156.30078,6943.549805,9225.4375,19821.75586,16192.39648,23544.81836,31272.07813,25026.98633,16178.69922,11499.49414,10249.7793,8995.010742,22845.96484,13950.01172,20519.06055,25685.6582,16049.20313,19344.72656,23515.47852,28478.30078,24201.9668,5030.72998,0,11431.07617,12453.23828,15361.7207,8591.698242,15811.05078,27643.87695,13547.71582,13789.84863,21680.32227,19375.19727,8357.68457,12054.0166,18178.77539,11089.95117,23551.91406,17756.24219,28289.35352,10848.55469,25575.87305,21405.49023,15506.72656,23630.91992,15542.32422,15205.56445,10569.26074,13855.71387,11593.4668,8417.355469,14733.45898,7908.053223
(+)-Luguine,5,27822.56836,64709.12109,52508.9375,48235.72656,41859.45703,40158.03906,41492.22656,45148.82813,68743.49219,13919.13086,27046.01758,25813.69141,13034.42578,34844.40234,32447.91797,31265.88086,35725.46875,26371.84766,44582.63672,32639.06055,48806.86719,60382.86719,26814.67578,23641.23633,29708.58398,42274.22656,50451.82813,38697.54688,22871.63281,43701.58984,31838.20703,65821.17188,33998.08203,34661.73438,20801.32813,38200.88672,29137.52344,23369.50977,24561.73828,45034.04297,35992.83203,32904.66016,44518.42188,24449.14453,19355.62695,51341.875,37070.23438,48789.4375,38552.14453,33299.57031,31524.36914,44724.66406,53701.48438,48643.45703,49083.71484,32308.68164,37265.07813,61115.38672,17932.65234,17491.11719,31249.41992,26642.64258,9212.575195,76232.24219
(10S)-Juvenile hormone III diol,7,114245.7813,35213.76172,141166.8125,32412.91602,97036.77344,214323.1875,31286.45703,48719.03125,114894,15677.08203,31315.0293,20372.63867,17552.05664,12119.10352,29750.43945,78484.24219,37478.55078,66986.09375,27465.16797,58932.76172,144179.9375,120940.2266,21189.0918,35123.70703,31541.0332,45045.83203,20805.19922,81851.36719,41666.55469,78950.08594,93158.32813,42120.51172,0,0,59062.77734,62289.74219,40379.83984,12906.08887,22993.51367,37378.85547,76914.32031,40003.73047,159052.8594,102312.7969,171782.0781,469375.75,81755.8125,96620.875,60412.76172,140288.625,184571.25,21969.93555,80432.99219,56001.62891,72046.22656,72899.69531,36724.82813,37725.07422,43260.92578,58675.29297,49702.61719,41063.91016,12016.34668,39504.48438
(1-Ribosylimidazole)-4-acetate,8,6380.288086,9974.855469,9260.724609,18029.53906,11056.08301,5547.720215,10402.24316,8133.972168,6982.596191,6117.483887,6470.868652,5718.374512,3941.370361,7473.365234,10738.51465,3428.743652,23567.76758,9871.650391,24878.55859,12991.67969,7241.35791,3230.748535,11188.66309,10065.02246,8261.206055,64397.60547,16385.85547,7952.681152,9082.663086,9262.251953,22264.7832,19056.7832,6315.635254,5847.312988,8371.830078,15971.10059,7928.112793,6179.47998,7596.591309,9941.111328,2157.383789,7600.175293,6957.71875,8189.303223,4325.953125,15531.75781,16408.50391,6330.665039,10292.00195,8288.125,23201.52344,7015.374023,5954.776367,7829.192871,8166.288086,6957.254883,20133.83594,7942.071777,8327.166016,10674.45215,7277.734863,9620.230469,11711.4873,10651.69922
"(1S,2R,4S)-(-)-Bornyl acetate",7,45216.36719,9888.714844,20032.88672,12953.94824,21710.23438,23063.71094,9089.561523,13103.06738,48047.70703,15403.20508,11509.55273,12730.95313,5671.068848,11228.03418,8984.541016,9017.518555,8019.786133,9902.487305,5623.286621,25654.17969,25317.47656,22887.70508,34207.5625,11789.78711,17147.42969,9650.577148,15008.72266,19812.32617,9732.746094,27848.60742,30626.27148,10101.42578,2771.101074,3006.029053,15765.53711,13187.78711,21822.01563,7172.837402,13530.1084,24342.32031,9858.255859,7969.674316,27414.31445,19191.01563,15786.53809,62110.60547,23615.68359,20571.50195,14613.93555,56201.05078,17322.98242,6329.458008,20035.87109,24541.54492,9567.042969,13000.9209,7197.298828,10084.25684,11642.43262,14735.52539,17041.58984,19542.81641,21631.40625,14603.60547
"(24R,24'R)-Fucosterol epoxide",7,1961443.25,1633905.5,3504197.25,1722361.875,1299572.375,2155919,1998464.625,2046453.375,949104,2407252.25,1582567.625,639772.375,2311271.75,1843110.25,2835973.75,1576119.375,3264875.5,1860661.75,2715013.5,1017961.875,1082239.5,1816109.625,620665.6875,1649175.875,1477859.5,1829528.5,1370623.625,2106077,3028556,1545703.875,2223048.25,3130425,2134883.75,983808.75,3099016,2850640.5,2163438.5,2882302,2077013.25,1401239.375,1773934.625,699079.375,2294876,2026235.375,2425665.25,2400757.25,3192059.25,3855515,3554396.25,1031541.063,2310207.75,2912228.25,1596691.875,1618929.5,1339928.5,1251976.75,1417828.25,1597501.625,2454708.75,1240602.625,1544401.625,1520147.25,767973.5625,1529265.75
(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate,7,45992.76953,95804.57813,12310.7959,131697.8906,325938.4375,85434.57031,165921.4063,142462.375,90073.85156,9733.821289,11685.00586,17287.21875,5956.003906,10782.60156,135195.875,45068.82031,99579.39063,151968.7656,91737.09375,84718.95313,73825.46094,106961.6406,8508.870117,21466.76953,21312.58594,176656.125,85379.99219,37095.51953,64407.30078,30181.21875,134445.8906,110405.0938,43719.47656,56033.67969,11106.1875,12892.24707,14487.41113,14070.25781,18625.51758,205458.6563,50800.87891,94810.60938,32524.56445,127614.7891,102596.3672,12652.16602,160843.6563,25181.10742,46783.61719,69062.22656,113090.2969,147906.9531,157050.5,103728.4141,113079.6094,71975.22656,230597.2969,97257.3125,7706.433594,25047.16406,7559.311523,19077.83008,12694.68262,15850.13281
(3R)-hydroxy-N-acetyl-(L)-arginine,7,23994.87305,65678.78125,49122.69141,45696.10938,30323.86719,20542.3125,50518.1875,30086.51758,11459.97852,45245.55859,60065.24609,49816.76953,82805.03906,31244.29102,125906.5781,42208.38281,44400.04297,25198.68945,43387.78516,30691.24609,24801.25391,0,33172.19531,57272.92578,41375.93359,56933.23438,47624.73047,71312.48438,23498.13672,72898.32031,63750.94141,45190.36328,86758.28125,103708.4297,60390.90625,46426.00781,45675.66016,35801.40625,42907.17578,43967.13281,130033.2891,57194.88281,49486.41406,19509.28711,6757.647949,39963.93359,20052.12109,52132.01172,39879.02734,30748.08398,45599.80469,41116.85938,42230.52734,16533.27344,12232.5498,23563.87695,6973.239746,28582.87695,38959.33594,42207.02344,18119.375,50348.56641,70133.78125,32909.66406
(4E)-2-Oxohexenoic acid,5,27260.31836,18820.46094,22247.26367,30321.25781,20831.20703,38709.39063,29076.2207,22323.43555,23054.27148,15720.94043,14714.67383,21185.23438,21147.74414,15742.66016,29580.22266,22454.44727,54072.05469,29548.08984,22401.59961,16952.87305,18282.23828,26713.51953,18567.46875,15722.5957,24626.46289,43020.85938,17323.62305,28541.13477,28237.30664,41686.78516,22509.92383,34363.16797,13132.70215,13486.62598,14069.3291,21240.74414,17999.80078,18870.7207,10221.07617,31189.79297,110228.3359,10671.32813,23241.50195,26852.46875,9541.199219,19405.79492,22532.3457,20853.76563,18506.13477,153255.3125,12999.69531,20320.78125,26491.17383,19475.43359,30892.48047,116613.3672,13762.46582,37875.92578,10346.65723,21805.67383,13981.19629,26306.06836,19118.6875,11965.99902
